Date,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F
2014-09-30,,,,386.9440002441406,1210.5
2014-10-01,188500.0,23120.0,62800.0,383.614990234375,1214.5999755859375
2014-10-02,180000.0,22820.0,64900.0,375.0719909667969,1214.199951171875
2014-10-03,,,,359.5119934082031,1192.199951171875
2014-10-04,,,,328.8659973144531,
2014-10-05,,,,320.510009765625,
2014-10-06,184500.0,23020.0,65300.0,330.0790100097656,1206.699951171875
2014-10-07,182000.0,23240.0,65500.0,336.18701171875,1211.699951171875
2014-10-08,178000.0,22600.0,67000.0,352.94000244140625,1205.300048828125
2014-10-09,,,,365.0260009765625,1224.5999755859375
2014-10-10,178000.0,22100.0,67300.0,361.56201171875,1221.0
2014-10-11,,,,362.2990112304688,
2014-10-12,,,,378.5490112304688,
2014-10-13,178500.0,22160.0,65900.0,390.41400146484375,1229.300048828125
2014-10-14,176000.0,22540.0,66300.0,400.8699951171875,1233.5999755859375
2014-10-15,175000.0,22500.0,65200.0,394.7730102539063,1244.0999755859375
2014-10-16,168000.0,22300.0,64700.0,382.5559997558594,1240.5
2014-10-17,162000.0,21780.0,63800.0,383.7579956054688,1238.300048828125
2014-10-18,,,,391.4419860839844,
2014-10-19,,,,389.5459899902344,
2014-10-20,169000.0,22120.0,65400.0,382.8450012207031,1244.0
2014-10-21,167000.0,21660.0,64000.0,386.4750061035156,1251.0
2014-10-22,161500.0,22080.0,64300.0,383.1579895019531,1244.800048828125
2014-10-23,171000.0,21880.0,64100.0,358.4169921875,1228.5
2014-10-24,172500.0,22240.0,63600.0,358.3450012207031,1231.199951171875
2014-10-25,,,,347.27099609375,
2014-10-26,,,,354.7040100097656,
2014-10-27,176000.0,21900.0,64700.0,352.989013671875,1229.0999755859375
2014-10-28,173500.0,21820.0,65000.0,357.6180114746094,1229.199951171875
2014-10-29,173500.0,22600.0,67800.0,335.59100341796875,1224.300048828125
2014-10-30,172000.0,23620.0,66400.0,345.30499267578125,1198.0999755859375
2014-10-31,170000.0,24880.0,65300.0,338.3210144042969,1171.0999755859375
2014-11-01,,,,325.7489929199219,
2014-11-02,,,,325.8919982910156,
2014-11-03,160000.0,24700.0,65200.0,327.5539855957031,1169.4000244140625
2014-11-04,155000.0,24340.0,65300.0,330.49200439453125,1167.4000244140625
2014-11-05,151000.0,24040.0,65000.0,339.4859924316406,1145.4000244140625
2014-11-06,158500.0,24080.0,64900.0,349.2900085449219,1142.300048828125
2014-11-07,162000.0,24120.0,64300.0,342.4150085449219,1169.5999755859375
2014-11-08,,,,345.4880065917969,
2014-11-09,,,,363.2640075683594,
2014-11-10,166500.0,25360.0,64800.0,366.9240112304688,1159.5999755859375
2014-11-11,176000.0,24620.0,65300.0,367.6950073242188,1162.800048828125
2014-11-12,176000.0,24600.0,65700.0,423.5610046386719,1158.9000244140625
2014-11-13,178500.0,24000.0,64300.0,420.7349853515625,1161.0999755859375
2014-11-14,177000.0,23880.0,64300.0,397.8179931640625,1185.0
2014-11-15,,,,376.1329956054688,
2014-11-16,,,,387.8819885253906,
2014-11-17,177500.0,24100.0,64100.0,387.4079895019531,1183.0
2014-11-18,177500.0,24400.0,64100.0,375.197998046875,1196.699951171875
2014-11-19,171500.0,24360.0,63300.0,380.5549926757813,1193.5999755859375
2014-11-20,167000.0,24200.0,62900.0,357.8399963378906,1190.699951171875
2014-11-21,165000.0,24460.0,65700.0,350.8479919433594,1197.5
2014-11-22,,,,352.9200134277344,
2014-11-23,,,,367.572998046875,
2014-11-24,171500.0,24400.0,66200.0,376.9010009765625,1195.5
2014-11-25,174000.0,23800.0,65400.0,375.3479919433594,1197.0999755859375
2014-11-26,174500.0,24020.0,64500.0,368.3699951171875,1196.5999755859375
2014-11-27,180500.0,25280.0,64100.0,369.6700134277344,
2014-11-28,179000.0,25740.0,63600.0,376.4469909667969,1175.199951171875
2014-11-29,,,,375.4909973144531,
2014-11-30,,,,378.0469970703125,
2014-12-01,182000.0,25900.0,63800.0,379.2449951171875,1218.0
2014-12-02,176500.0,25900.0,64200.0,381.3150024414063,1199.199951171875
2014-12-03,177500.0,25960.0,63600.0,375.010009765625,1208.5
2014-12-04,185000.0,26000.0,63000.0,369.60400390625,1207.5
2014-12-05,188000.0,26040.0,62400.0,376.85400390625,1190.0999755859375
2014-12-06,,,,374.7850036621094,
2014-12-07,,,,375.0950012207031,
2014-12-08,185500.0,26380.0,62600.0,361.9089965820313,1194.699951171875
2014-12-09,181500.0,26980.0,62300.0,352.218994140625,1231.5
2014-12-10,180000.0,26340.0,62500.0,346.364990234375,1228.9000244140625
2014-12-11,178000.0,26100.0,61300.0,350.5060119628906,1225.0999755859375
2014-12-12,178500.0,25720.0,62500.0,352.5419921875,1222.0
2014-12-13,,,,347.3760070800781,
2014-12-14,,,,351.6319885253906,
2014-12-15,174500.0,25460.0,62200.0,345.3450012207031,1207.199951171875
2014-12-16,174500.0,25580.0,61500.0,327.06201171875,1193.9000244140625
2014-12-17,169000.0,25320.0,59500.0,319.7760009765625,1194.300048828125
2014-12-18,167500.0,25320.0,58400.0,311.39599609375,1194.699951171875
2014-12-19,170000.0,26560.0,59100.0,317.8429870605469,1195.9000244140625
2014-12-20,,,,329.9559936523437,
2014-12-21,,,,320.8429870605469,
2014-12-22,171000.0,26900.0,59800.0,331.885986328125,1179.699951171875
2014-12-23,171500.0,26780.0,59500.0,334.5719909667969,1177.9000244140625
2014-12-24,175000.0,26860.0,59900.0,322.53399658203125,1173.5
2014-12-25,,,,319.00799560546875,
2014-12-26,174500.0,27040.0,59600.0,327.92401123046875,1195.300048828125
