,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,386.9440002441406,1210.5,,,,386.9440002441406,1210.5,,,,390.97698974609375,1218.199951171875,,,,373.4429931640625,1204.0,,,,376.0880126953125,1214.800048828125,,,,34707300,680.0
2014-10-01,153860.828125,19135.52734375,58841.64453125,383.614990234375,1214.5999755859375,188500.0,23120.0,62800.0,383.614990234375,1214.5999755859375,191000.0,23660.0,65600.0,391.3789978027344,1217.800048828125,188000.0,23120.0,62600.0,380.7799987792969,1205.5,190000.0,23480.0,65400.0,387.427001953125,1207.699951171875,550912.0,11929800.0,1384528.0,26229400,178.0
2014-10-02,146922.796875,18887.2265625,60809.28125,375.0719909667969,1214.199951171875,180000.0,22820.0,64900.0,375.0719909667969,1214.199951171875,189500.0,23300.0,65300.0,385.49700927734375,1219.5,180000.0,22820.0,62800.0,372.9460144042969,1210.300048828125,188500.0,23300.0,62800.0,383.9880065917969,1215.300048828125,1229479.0,12732750.0,1193604.0,21777700,176.0
2014-10-03,,,,359.5119934082031,1192.199951171875,,,,359.5119934082031,1192.199951171875,,,,377.69500732421875,1212.4000244140625,,,,357.8590087890625,1191.0,,,,375.1809997558594,1212.4000244140625,,,,30901200,499.0
2014-10-04,,,,328.8659973144531,,,,,328.8659973144531,,,,,364.48699951171875,,,,,325.885986328125,,,,,359.8919982910156,,,,,47236500,
2014-10-05,,,,320.510009765625,,,,,320.510009765625,,,,,341.8009948730469,,,,,289.2959899902344,,,,,328.9159851074219,,,,,83308096,
2014-10-06,150595.890625,19052.75390625,61184.06640625,330.0790100097656,1206.699951171875,184500.0,23020.0,65300.0,330.0790100097656,1206.699951171875,186000.0,23120.0,66400.0,345.1340026855469,1208.0,180000.0,22760.0,64700.0,302.55999755859375,1182.800048828125,180000.0,22900.0,65400.0,320.3890075683594,1187.699951171875,811614.0,21252900.0,578730.0,79011800,415.0
2014-10-07,148555.3125,19234.841796875,61371.46484375,336.18701171875,1211.699951171875,182000.0,23240.0,65500.0,336.18701171875,1211.699951171875,187000.0,23720.0,66100.0,339.24700927734375,1211.699951171875,179500.0,23240.0,64700.0,320.48199462890625,1205.300048828125,187000.0,23240.0,66100.0,330.5840148925781,1209.0999755859375,613882.0,10149150.0,447248.0,49199900,272.0
2014-10-08,145290.296875,18705.142578125,62776.9140625,352.94000244140625,1205.300048828125,178000.0,22600.0,67000.0,352.94000244140625,1205.300048828125,180500.0,23020.0,67800.0,354.364013671875,1217.9000244140625,176000.0,22480.0,65500.0,327.18798828125,1205.300048828125,176500.0,22840.0,65500.0,336.1159973144531,1210.199951171875,908851.0,14720550.0,753135.0,54736300,9.0
2014-10-09,,,,365.0260009765625,1224.5999755859375,,,,365.0260009765625,1224.5999755859375,,,,382.72601318359375,1229.0,,,,347.68701171875,1223.9000244140625,,,,352.74798583984375,1223.9000244140625,,,,83641104,19.0
